"collection_name","article_id","title","doi","tags","thumbnail_file"
"Groundwater","7680482","Cross section of a gravity well","https://doi.org/10.17028/rd.lboro.7680482.v1","Technical illustration and graphics","7680482_thumbnail.jpg"
"Groundwater","7049213","Well with windlass","https://doi.org/10.17028/rd.lboro.7049213.v1","Technical illustration and graphics","7049213_thumbnail.jpg"
"Groundwater","7049216","Woman at a well","https://doi.org/10.17028/rd.lboro.7049216.v1","Technical illustration and graphics","7049216_thumbnail.jpg"
"Groundwater","7039562","Drawing water from a well","https://doi.org/10.17028/rd.lboro.7039562.v1","Line drawings","7039562_thumbnail.jpg"
"Water cycle","8094968","Alluvial fan","https://doi.org/10.17028/rd.lboro.8094968.v1","Technical illustration and graphics","8094968_thumbnail.jpg"
"Water cycle","8094974","Cone of depression and radius of influence","https://doi.org/10.17028/rd.lboro.8094974.v1","Technical illustration and graphics","8094974_thumbnail.jpg"
"Water cycle","8094962","The water cycle","https://doi.org/10.17028/rd.lboro.8094962.v1","Technical illustration and graphics","8094962_thumbnail.jpg"
"Water storage","7836830","Water collection time versus water use","https://doi.org/10.17028/rd.lboro.7836830.v1","Technical illustration and graphics","7836830_thumbnail.jpg"
"Water storage","7837871","Temporary storage tank showing design features appropriate for cold regions","https://doi.org/10.17028/rd.lboro.7837871.v1","Technical illustration and graphics","7837871_thumbnail.jpg"
"Water storage","7844717","Temporary water storage tank showing useful features for cold regions","https://doi.org/10.17028/rd.lboro.7844717.v1","Technical illustration and graphics","7844717_thumbnail.jpg"
"Water storage","7869098","On and off line storage of stormwater","https://doi.org/10.17028/rd.lboro.7869098.v1","Technical illustration and graphics","7869098_thumbnail.jpg"
"Water storage","7874036","Schematic layout of storage tank pipework","https://doi.org/10.17028/rd.lboro.7874036.v1","Technical illustration and graphics","7874036_thumbnail.jpg"
"Water storage","8095211","Sand-filled hafir with water storage domes","https://doi.org/10.17028/rd.lboro.8095211.v1","Technical illustration and graphics","8095211_thumbnail.jpg"
"Water storage","8095160","Indication of water storage potential","https://doi.org/10.17028/rd.lboro.8095160.v1","Technical illustration and graphics","8095160_thumbnail.jpg"
"Water storage","7874168","Fabric cover to storage tank cutaway showing column and ropes","https://doi.org/10.17028/rd.lboro.7874168.v1","Technical illustration and graphics","7874168_thumbnail.jpg"
"Water storage","7874171","Temporary water distribution point with rigid tank elevated on sand filled storage drums","https://doi.org/10.17028/rd.lboro.7874171.v1","Technical illustration and graphics","7874171_thumbnail.jpg"
"Water storage","7874183","Raised platform for a storage tank supported by retaining wall of sand-filled sacks","https://doi.org/10.17028/rd.lboro.7874183.v1","Technical illustration and graphics","7874183_thumbnail.jpg"
"Water storage","7874186","Below ground storage tank with synthetic liner","https://doi.org/10.17028/rd.lboro.7874186.v1","Technical illustration and graphics","7874186_thumbnail.jpg"
"Water storage","7874495","Pipeline profile from storage tank 2","https://doi.org/10.17028/rd.lboro.7874495.v1","Technical illustration and graphics","7874495_thumbnail.jpg"
"Water storage","7874480","Pipeline profile from storage tank","https://doi.org/10.17028/rd.lboro.7874480.v1","Technical illustration and graphics","7874480_thumbnail.jpg"
"Water storage","7874468","Elevation of pipeline between storage tank and tapstand","https://doi.org/10.17028/rd.lboro.7874468.v1","Technical illustration and graphics","7874468_thumbnail.jpg"
"Water storage","8094875","Collecting water from a storage tank","https://doi.org/10.17028/rd.lboro.8094875.v1","Technical illustration and graphics","8094875_thumbnail.jpg"
"Water storage","8094878","Location of water tanks","https://doi.org/10.17028/rd.lboro.8094878.v1","Technical illustration and graphics","8094878_thumbnail.jpg"
"Water storage","8094890","Improved privately operated water kiosk","https://doi.org/10.17028/rd.lboro.8094890.v1","Technical illustration and graphics","8094890_thumbnail.jpg"
"Water storage","8094887","Communal tank","https://doi.org/10.17028/rd.lboro.8094887.v1","Technical illustration and graphics","8094887_thumbnail.jpg"
"Water storage","8094893","A typical sound storage dam","https://doi.org/10.17028/rd.lboro.8094893.v1","Technical illustration and graphics","8094893_thumbnail.jpg"
"Water storage","8074523","Flowchart and decision areas for storage and collection","https://doi.org/10.17028/rd.lboro.8074523.v1","Technical illustration and graphics","8074523_thumbnail.jpg"
"Water storage","8075558","Flow chart and decision areas for storage and collection","https://doi.org/10.17028/rd.lboro.8075558.v1","Technical illustration and graphics","8075558_thumbnail.jpg"
